Bias (V)	ADC0-I (V) avg.	ADC0-I (V) [1]	ADC0-I (V) [2]	ADC0-I (V) [3]	ADC0-I (V) [4]	ADC0-I (V) [5]	
1.359890	0.014283	0.014039	0.014649	0.014344	0.014344	0.014039	
1.346560	0.013916	0.014039	0.014039	0.014039	0.013733	0.013733	
1.333220	0.013489	0.013733	0.013733	0.013428	0.013428	0.013123	
1.319890	0.013306	0.013428	0.013733	0.013123	0.013123	0.013123	
1.306560	0.012940	0.012818	0.013123	0.013123	0.012818	0.012818	
1.293220	0.012879	0.012818	0.013123	0.012818	0.012818	0.012818	
1.279890	0.012574	0.012513	0.012818	0.012513	0.012513	0.012513	
1.266560	0.012207	0.012513	0.012207	0.012207	0.011902	0.012207	
1.253220	0.011963	0.012207	0.012207	0.012207	0.011597	0.011597	
1.239890	0.011780	0.011902	0.012207	0.011902	0.011292	0.011597	
1.226560	0.011475	0.011292	0.011902	0.011597	0.011292	0.011292	
1.213220	0.011292	0.011292	0.011597	0.010987	0.011292	0.011292	
1.199890	0.010926	0.010681	0.010987	0.010987	0.010987	0.010987	
1.186560	0.010743	0.010681	0.010987	0.010681	0.010681	0.010681	
1.173220	0.010437	0.010376	0.010681	0.010376	0.010376	0.010376	
1.159890	0.010193	0.010071	0.010376	0.010376	0.010071	0.010071	
1.146560	0.010071	0.010071	0.010376	0.010071	0.010071	0.009766	
1.133230	0.009766	0.009766	0.009766	0.009766	0.009766	0.009766	
1.119890	0.009644	0.009766	0.009766	0.009766	0.009461	0.009461	
1.106560	0.009339	0.009461	0.009461	0.009461	0.009156	0.009156	
1.093230	0.009156	0.009156	0.009461	0.009156	0.009156	0.008850	
1.079890	0.008911	0.008850	0.008850	0.009156	0.008850	0.008850	
1.066560	0.008606	0.008545	0.008545	0.008850	0.008545	0.008545	
1.053230	0.008423	0.008240	0.008545	0.008240	0.008545	0.008545	
1.039890	0.008240	0.008240	0.008240	0.008240	0.008240	0.008240	
1.026560	0.008057	0.007935	0.008240	0.008240	0.007935	0.007935	
1.013230	0.007874	0.007935	0.007935	0.007935	0.007630	0.007935	
0.999894	0.007691	0.007630	0.007935	0.007630	0.007630	0.007630	
0.986561	0.007385	0.007324	0.007630	0.007324	0.007324	0.007324	
0.973228	0.007141	0.007019	0.007324	0.007324	0.007019	0.007019	
0.959895	0.007019	0.007019	0.007019	0.007324	0.006714	0.007019	
0.946562	0.006836	0.006714	0.007019	0.007019	0.006714	0.006714	
0.933229	0.006592	0.006714	0.006714	0.006714	0.006409	0.006409	
0.919895	0.006470	0.006409	0.006714	0.006409	0.006409	0.006409	
0.906562	0.006165	0.006104	0.006409	0.006104	0.006104	0.006104	
0.893229	0.006043	0.006104	0.006104	0.006104	0.005799	0.006104	
0.879896	0.005860	0.005799	0.006104	0.005799	0.005799	0.005799	
0.866563	0.005737	0.005799	0.005799	0.005799	0.005493	0.005799	
0.853230	0.005493	0.005493	0.005493	0.005493	0.005493	0.005493	
0.839897	0.005310	0.005188	0.005493	0.005493	0.005188	0.005188	
0.826564	0.005188	0.005188	0.005188	0.005188	0.005188	0.005188	
0.813230	0.005127	0.005188	0.005188	0.005188	0.004883	0.005188	
0.799897	0.004883	0.004883	0.004883	0.004883	0.004883	0.004883	
0.786564	0.004700	0.004578	0.004883	0.004883	0.004578	0.004578	
0.773231	0.004578	0.004578	0.004578	0.004578	0.004578	0.004578	
0.759898	0.004395	0.004273	0.004578	0.004273	0.004273	0.004578	
0.746565	0.004334	0.004273	0.004578	0.004273	0.004273	0.004273	
0.733232	0.004273	0.004273	0.004273	0.004273	0.004273	0.004273	
0.719899	0.004028	0.003967	0.004273	0.003967	0.003967	0.003967	
0.706566	0.003967	0.003967	0.003967	0.003967	0.003967	0.003967	
0.693232	0.003784	0.003662	0.003967	0.003967	0.003662	0.003662	
0.679899	0.003662	0.003662	0.003662	0.003662	0.003662	0.003662	
0.666566	0.003601	0.003662	0.003662	0.003662	0.003357	0.003662	
0.653233	0.003418	0.003357	0.003662	0.003357	0.003357	0.003357	
0.639900	0.003357	0.003357	0.003357	0.003357	0.003357	0.003357	
0.626567	0.003235	0.003052	0.003357	0.003052	0.003357	0.003357	
0.613234	0.003113	0.003052	0.003357	0.003052	0.003052	0.003052	
0.599901	0.003052	0.003052	0.003052	0.003052	0.003052	0.003052	
0.586567	0.003052	0.003052	0.003052	0.003052	0.003052	0.003052	
0.573234	0.002869	0.003052	0.003052	0.002747	0.002747	0.002747	
0.559901	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	
0.546568	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	
0.533235	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	
0.519902	0.002564	0.002441	0.002747	0.002441	0.002441	0.002747	
0.506569	0.002441	0.002441	0.002441	0.002441	0.002441	0.002441	
0.493236	0.002441	0.002441	0.002441	0.002441	0.002441	0.002441	
0.479903	0.002441	0.002441	0.002441	0.002441	0.002441	0.002441	
0.466569	0.002319	0.002136	0.002441	0.002441	0.002136	0.002441	
0.453236	0.002136	0.002136	0.002136	0.002136	0.002136	0.002136	
0.439903	0.002136	0.002136	0.002136	0.002136	0.002136	0.002136	
0.426570	0.002136	0.002136	0.002136	0.002136	0.002136	0.002136	
0.413237	0.002075	0.002136	0.002136	0.001831	0.002136	0.002136	
0.399904	0.001953	0.002136	0.002136	0.001831	0.001831	0.001831	
0.386571	0.001831	0.001831	0.001831	0.001831	0.001831	0.001831	
0.373238	0.001831	0.001831	0.001831	0.001831	0.001831	0.001831	
0.359905	0.001831	0.001831	0.001831	0.001831	0.001831	0.001831	
0.346571	0.001831	0.001831	0.001831	0.001831	0.001831	0.001831	
0.333238	0.001587	0.001526	0.001526	0.001526	0.001831	0.001526	
0.319905	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.306572	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.293239	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.279906	0.001526	0.001526	0.001526	0.001526	0.001526	0.001526	
0.266573	0.001465	0.001526	0.001526	0.001221	0.001526	0.001526	
0.253240	0.001404	0.001221	0.001221	0.001526	0.001526	0.001526	
0.239906	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.226573	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.213240	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.199907	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.186574	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.173241	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.159908	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.146575	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.133242	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.119908	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.106575	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.093242	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.079909	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.066576	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.053243	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.039910	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
0.026577	0.001160	0.001221	0.000916	0.001221	0.001221	0.001221	
0.013244	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
-0.000090	0.001160	0.001221	0.001221	0.000916	0.001221	0.001221	
-0.013423	0.001160	0.000916	0.001221	0.001221	0.001221	0.001221	
-0.026756	0.001221	0.001221	0.001221	0.001221	0.001221	0.001221	
-0.040089	0.001160	0.001221	0.001221	0.000916	0.001221	0.001221	
-0.053422	0.001160	0.001221	0.001221	0.000916	0.001221	0.001221	
-0.066755	0.001160	0.001221	0.001221	0.000916	0.001221	0.001221	
-0.080088	0.001038	0.000916	0.001221	0.000916	0.001221	0.000916	
-0.093421	0.001038	0.000916	0.000916	0.001221	0.000916	0.001221	
-0.106755	0.000977	0.001221	0.000916	0.000916	0.000916	0.000916	
-0.120088	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.133421	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.146754	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.160087	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.173420	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.186753	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.200086	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.213419	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.226753	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.240086	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.253419	0.000855	0.000610	0.000916	0.000916	0.000916	0.000916	
-0.266752	0.000793	0.000916	0.000610	0.000916	0.000916	0.000610	
-0.280085	0.000610	0.000610	0.000610	0.000610	0.000610	0.000610	
-0.293418	0.000610	0.000610	0.000610	0.000610	0.000610	0.000610	
-0.306751	0.000610	0.000610	0.000610	0.000610	0.000610	0.000610	
-0.320084	0.000610	0.000610	0.000610	0.000610	0.000610	0.000610	
-0.333418	0.000549	0.000610	0.000610	0.000610	0.000305	0.000610	
-0.346751	0.000305	0.000305	0.000305	0.000305	0.000305	0.000305	
-0.360084	0.000305	0.000305	0.000305	0.000305	0.000305	0.000305	
-0.373417	0.000305	0.000305	0.000305	0.000305	0.000305	0.000305	
-0.386750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.400083	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.413416	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.426749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.440082	-0.000305	-0.000305	-0.000305	-0.000305	-0.000305	-0.000305	
-0.453416	-0.000427	-0.000610	-0.000610	-0.000305	-0.000305	-0.000305	
-0.466749	-0.000610	-0.000610	-0.000610	-0.000610	-0.000610	-0.000610	
-0.480082	-0.000916	-0.000916	-0.000916	-0.000916	-0.000916	-0.000916	
-0.493415	-0.000916	-0.000916	-0.000916	-0.000916	-0.000916	-0.000916	
-0.506748	-0.001221	-0.001221	-0.001221	-0.001221	-0.001221	-0.001221	
-0.520081	-0.001465	-0.001526	-0.001526	-0.001526	-0.001526	-0.001221	
-0.533414	-0.001587	-0.001526	-0.001831	-0.001526	-0.001526	-0.001526	
-0.546747	-0.001831	-0.001831	-0.001831	-0.001831	-0.001831	-0.001831	
-0.560081	-0.002136	-0.002136	-0.002136	-0.002136	-0.002136	-0.002136	
-0.573414	-0.002380	-0.002441	-0.002441	-0.002441	-0.002136	-0.002441	
-0.586747	-0.002564	-0.002747	-0.002747	-0.002441	-0.002441	-0.002441	
-0.600080	-0.002869	-0.003052	-0.003052	-0.002747	-0.002747	-0.002747	
-0.613413	-0.003113	-0.003052	-0.003357	-0.003052	-0.003052	-0.003052	
-0.626746	-0.003418	-0.003662	-0.003357	-0.003357	-0.003357	-0.003357	
-0.640079	-0.003723	-0.003967	-0.003662	-0.003662	-0.003662	-0.003662	
-0.653412	-0.003845	-0.003967	-0.003967	-0.003662	-0.003662	-0.003967	
-0.666745	-0.004151	-0.004273	-0.004273	-0.003967	-0.003967	-0.004273	
-0.680079	-0.004517	-0.004273	-0.004578	-0.004578	-0.004578	-0.004578	
-0.693412	-0.004883	-0.004883	-0.004883	-0.004883	-0.004883	-0.004883	
-0.706745	-0.005066	-0.005188	-0.005188	-0.004883	-0.004883	-0.005188	
-0.720078	-0.005310	-0.005493	-0.005493	-0.005188	-0.005188	-0.005188	
-0.733411	-0.005737	-0.005799	-0.005799	-0.005799	-0.005493	-0.005799	
-0.746744	-0.005921	-0.005799	-0.006104	-0.005799	-0.005799	-0.006104	
-0.760077	-0.006348	-0.006409	-0.006409	-0.006409	-0.006104	-0.006409	
-0.773410	-0.006653	-0.006714	-0.006714	-0.006714	-0.006409	-0.006714	
-0.786744	-0.007019	-0.007019	-0.007324	-0.007019	-0.006714	-0.007019	
-0.800077	-0.007324	-0.007324	-0.007630	-0.007324	-0.007019	-0.007324	
-0.813410	-0.007569	-0.007630	-0.007935	-0.007630	-0.007324	-0.007324	
-0.826743	-0.007996	-0.007935	-0.008240	-0.007935	-0.007935	-0.007935	
-0.840076	-0.008240	-0.008240	-0.008545	-0.008240	-0.007935	-0.008240	
-0.853409	-0.008545	-0.008850	-0.008850	-0.008240	-0.008240	-0.008545	
-0.866742	-0.008667	-0.008850	-0.009156	-0.008545	-0.008240	-0.008545	
-0.880075	-0.009095	-0.009156	-0.009461	-0.008850	-0.009156	-0.008850	
-0.893408	-0.009400	-0.009461	-0.009766	-0.009156	-0.009461	-0.009156	
-0.906742	-0.009583	-0.009461	-0.010071	-0.009461	-0.009461	-0.009461	
-0.920075	-0.009827	-0.010071	-0.010071	-0.009766	-0.009766	-0.009461	
-0.933408	-0.010071	-0.010071	-0.010681	-0.010071	-0.009766	-0.009766	
-0.946741	-0.010315	-0.010376	-0.010987	-0.010376	-0.010071	-0.009766	
-0.960074	-0.010498	-0.010376	-0.010987	-0.010681	-0.010376	-0.010071	
-0.973407	-0.010804	-0.010681	-0.011292	-0.010681	-0.010987	-0.010376	
-0.986740	-0.011048	-0.010987	-0.011292	-0.010987	-0.010987	-0.010987	
-1.000070	-0.011170	-0.011597	-0.011597	-0.010987	-0.010681	-0.010987	
-1.013410	-0.011475	-0.011597	-0.011902	-0.011597	-0.010987	-0.011292	
-1.026740	-0.011658	-0.011597	-0.012513	-0.011597	-0.011292	-0.011292	
-1.040070	-0.011902	-0.011902	-0.012513	-0.011902	-0.011597	-0.011597	
-1.053410	-0.012146	-0.012207	-0.012513	-0.012207	-0.011902	-0.011902	
-1.066740	-0.012268	-0.012207	-0.012207	-0.012818	-0.011902	-0.012207	
-1.080070	-0.012329	-0.012207	-0.012818	-0.012818	-0.011597	-0.012207	
-1.093410	-0.012513	-0.012513	-0.013123	-0.012818	-0.011902	-0.012207	
-1.106740	-0.012757	-0.012818	-0.013123	-0.013123	-0.012207	-0.012513	
-1.120070	-0.013123	-0.013123	-0.013428	-0.013428	-0.012513	-0.013123	
-1.133400	-0.013184	-0.013428	-0.013428	-0.013428	-0.012513	-0.013123	
-1.146740	-0.013306	-0.013733	-0.013733	-0.013428	-0.012513	-0.013123	
-1.160070	-0.013367	-0.013733	-0.014039	-0.013733	-0.012513	-0.012818	
-1.173400	-0.013672	-0.014039	-0.014344	-0.013733	-0.012818	-0.013428	
-1.186740	-0.013916	-0.014039	-0.014649	-0.014039	-0.013123	-0.013733	
-1.200070	-0.013977	-0.014039	-0.014954	-0.014039	-0.013123	-0.013733	
-1.213400	-0.013977	-0.014649	-0.014649	-0.014039	-0.012818	-0.013733	
-1.226740	-0.014161	-0.014649	-0.014954	-0.014344	-0.013123	-0.013733	
-1.240070	-0.014466	-0.014954	-0.015259	-0.014649	-0.013428	-0.014039	
-1.253400	-0.014710	-0.014954	-0.015564	-0.014954	-0.013733	-0.014344	
-1.266740	-0.014649	-0.014649	-0.015564	-0.014954	-0.013733	-0.014344	
-1.280070	-0.014771	-0.015259	-0.015564	-0.014954	-0.013733	-0.014344	
-1.293400	-0.015198	-0.015870	-0.015870	-0.015259	-0.014344	-0.014649	
-1.306740	-0.015076	-0.015870	-0.015870	-0.015259	-0.013733	-0.014649	
-1.320070	-0.015320	-0.016480	-0.015870	-0.015564	-0.014039	-0.014649	
-1.333400	-0.015503	-0.016480	-0.016175	-0.015564	-0.014344	-0.014954	
-1.346730	-0.015625	-0.016175	-0.016175	-0.015870	-0.014649	-0.015259	
-1.360070	-0.015564	-0.016480	-0.016175	-0.015564	-0.014344	-0.015259	
-1.373400	-0.015687	-0.016480	-0.016480	-0.015870	-0.014344	-0.015259	
-1.386730	-0.016114	-0.016480	-0.017090	-0.016480	-0.014649	-0.015870	
-1.400070	-0.016419	-0.017090	-0.016785	-0.016785	-0.015259	-0.016175	
-1.413400	-0.016358	-0.016785	-0.017090	-0.016785	-0.014954	-0.016175	
-1.426730	-0.016602	-0.017396	-0.017701	-0.016785	-0.014954	-0.016175	
-1.440070	-0.016541	-0.017090	-0.017396	-0.016785	-0.015259	-0.016175	
-1.453400	-0.017029	-0.018006	-0.017701	-0.017090	-0.015564	-0.016785	
-1.466730	-0.017335	-0.018311	-0.018006	-0.017396	-0.015870	-0.017090	
-1.480070	-0.017701	-0.018311	-0.018311	-0.018311	-0.016175	-0.017396	
-1.493400	-0.017640	-0.018311	-0.018616	-0.018006	-0.015870	-0.017396	
-1.506730	-0.017945	-0.018616	-0.019227	-0.018006	-0.016175	-0.017701	
-1.520060	-0.018311	-0.018922	-0.019532	-0.018311	-0.016785	-0.018006	
-1.533400	-0.018738	-0.019532	-0.019837	-0.018616	-0.017396	-0.018311	
-1.546730	-0.019166	-0.019532	-0.019837	-0.019227	-0.018311	-0.018922	
-1.560060	-0.019410	-0.019837	-0.020447	-0.019227	-0.018311	-0.019227	
-1.573400	-0.019715	-0.020142	-0.020753	-0.019532	-0.018616	-0.019532	
-1.586730	-0.019959	-0.020447	-0.021363	-0.020142	-0.018006	-0.019837	
-1.600060	-0.020814	-0.021363	-0.021973	-0.021363	-0.018616	-0.020753	
-1.613400	-0.021241	-0.021668	-0.022279	-0.021973	-0.019227	-0.021058	
-1.626730	-0.021668	-0.021973	-0.022584	-0.022584	-0.019837	-0.021363	
-1.640060	-0.021851	-0.022279	-0.022889	-0.022584	-0.019837	-0.021668	
-1.653400	-0.022584	-0.023194	-0.024110	-0.023194	-0.020142	-0.022279	
-1.666730	-0.023377	-0.024110	-0.024415	-0.024110	-0.021058	-0.023194	
-1.680060	-0.024110	-0.024720	-0.025330	-0.024720	-0.021973	-0.023804	
-1.693400	-0.024964	-0.025635	-0.025941	-0.025941	-0.022584	-0.024720	
-1.706730	-0.026002	-0.026246	-0.027161	-0.026856	-0.023499	-0.026246	
-1.720060	-0.027039	-0.027467	-0.028382	-0.027772	-0.024415	-0.027161	
-1.733390	-0.028016	-0.028687	-0.029298	-0.028382	-0.025635	-0.028077	
-1.746730	-0.029359	-0.029908	-0.030824	-0.030213	-0.026856	-0.028993	
-1.760060	-0.030519	-0.031434	-0.031739	-0.031129	-0.028077	-0.030213	
-1.773390	-0.031739	-0.032044	-0.033570	-0.032350	-0.029298	-0.031434	
-1.786730	-0.032838	-0.032960	-0.034791	-0.033570	-0.029908	-0.032960	
-1.800060	-0.034303	-0.035096	-0.035707	-0.035402	-0.031129	-0.034181	
-1.813390	-0.036073	-0.037233	-0.036927	-0.037538	-0.032655	-0.036012	
-1.826730	-0.037904	-0.038148	-0.039064	-0.039674	-0.034791	-0.037843	
-1.840060	-0.039552	-0.039979	-0.040895	-0.040590	-0.037233	-0.039064	
-1.853390	-0.040712	-0.041200	-0.042421	-0.041505	-0.038148	-0.040284	
-1.866730	-0.042482	-0.043031	-0.044862	-0.043336	-0.038759	-0.042421	
-1.880060	-0.044252	-0.044557	-0.046388	-0.045778	-0.040590	-0.043947	
-1.893390	-0.046266	-0.046693	-0.047609	-0.048524	-0.042726	-0.045778	
-1.906730	-0.047121	-0.047914	-0.049745	-0.048524	-0.043031	-0.046388	
-1.920060	-0.048463	-0.048830	-0.050966	-0.049745	-0.044557	-0.048219	
-1.933390	-0.050233	-0.049745	-0.053407	-0.051271	-0.046388	-0.050356	
-1.946720	-0.051943	-0.051576	-0.054628	-0.053102	-0.048219	-0.052187	
-1.960060	-0.053896	-0.054933	-0.055544	-0.055849	-0.049440	-0.053713	
-1.973390	-0.056093	-0.058290	-0.057375	-0.058290	-0.051271	-0.055239	
-1.986720	-0.057314	-0.057985	-0.060427	-0.058901	-0.052797	-0.056459	
