Experiment	bias spectroscopy	
Date	19.01.2016 19:17:59	
User		
X (m)	50.7849E-9	
Y (m)	256.841E-9	
Z (m)	-132.632E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	MnPc/Pb(111)	
Comment02	dz =00pm	
Comment03	7 Sweeps	
Comment04	MagField =0.T	
Comment05	Divider 1:10	
Comment06	Setpoint:5mV,200 pA	
Comment07	Lockin: 50uVrms,5ms,5mV	
Comment08	Gain:9; 912Hz modulation	
Comment09	T=1.06K	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.046E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	2000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	7	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	100E-3,3.3E-3,100E-6,10E-3,2500;3.3E-3,-3.3E-3,100E-6,10E-3,10;-3.3E-3,-100E-3,100E-6,10E-3,2500	
Current>Current (A)	200.463E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-455.429E-15	
Current>Gain	LN 10^9	
Z-Controller>Z (m)	-132.632E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	2.96994E-12	
Z-Controller>I gain	67.0321E-9	
Z-Controller>Time const (s)	44.3062E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	200.448E-12	
Z (m)	-132.632E-9	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Current [bwd] (A)	X% LockIn [bwd] (V)	Y% LockIn [bwd] (V)
5.00000E-3	190.382E-12	595.809E-3	-838.440E-6	195.175E-12	623.004E-3	-48.3779E-3
4.99500E-3	189.067E-12	598.832E-3	2.29982E-3	196.079E-12	633.885E-3	-37.7092E-3
4.98999E-3	188.977E-12	575.181E-3	13.7069E-3	194.820E-12	662.927E-3	-33.8697E-3
4.98499E-3	190.298E-12	570.024E-3	-694.816E-6	193.127E-12	671.438E-3	-21.1791E-3
4.97999E-3	190.388E-12	575.372E-3	-10.7555E-3	194.110E-12	659.984E-3	-480.128E-6
4.97499E-3	189.379E-12	593.422E-3	-7.53009E-3	196.095E-12	650.856E-3	4.73081E-3
4.96998E-3	188.657E-12	616.084E-3	-14.2111E-3	195.386E-12	622.208E-3	1.67023E-3
4.96498E-3	189.163E-12	609.411E-3	-4.35049E-3	193.276E-12	603.451E-3	-1.34575E-3
4.95998E-3	189.386E-12	588.295E-3	7.48677E-3	192.723E-12	609.317E-3	-34.1748E-3
4.95498E-3	189.127E-12	574.481E-3	-13.0372E-3	194.089E-12	596.174E-3	-68.7064E-3
4.94997E-3	188.599E-12	570.399E-3	-28.8544E-3	193.739E-12	574.176E-3	-58.5717E-3
4.94497E-3	187.747E-12	580.932E-3	-10.6303E-3	190.791E-12	576.030E-3	-55.6753E-3
4.93997E-3	189.359E-12	598.395E-3	2.72185E-3	189.146E-12	582.253E-3	-79.6428E-3
4.93497E-3	189.724E-12	621.002E-3	-23.5001E-3	189.807E-12	589.048E-3	-79.6173E-3
4.92996E-3	189.394E-12	639.336E-3	-35.2442E-3	190.849E-12	610.069E-3	-56.2831E-3
4.92496E-3	188.241E-12	647.495E-3	-14.2146E-3	189.226E-12	614.379E-3	-34.1809E-3
4.91996E-3	188.321E-12	651.139E-3	6.87423E-3	187.081E-12	578.972E-3	-20.1454E-3
4.91496E-3	189.199E-12	635.484E-3	19.6712E-3	187.160E-12	576.243E-3	-17.5010E-3
4.90995E-3	189.131E-12	612.502E-3	2.02141E-3	187.906E-12	614.726E-3	-42.2083E-3
4.90495E-3	187.757E-12	632.369E-3	-17.0604E-3	188.811E-12	627.770E-3	-65.0697E-3
4.89995E-3	187.061E-12	667.060E-3	-10.9010E-3	188.601E-12	645.633E-3	-35.3628E-3
4.89495E-3	185.927E-12	663.668E-3	18.0790E-3	188.032E-12	650.109E-3	-9.89949E-3
4.88995E-3	186.132E-12	634.148E-3	61.1380E-3	187.133E-12	630.334E-3	-8.72185E-3
4.88494E-3	184.981E-12	619.056E-3	53.0236E-3	188.998E-12	635.691E-3	16.1874E-3
4.87994E-3	185.423E-12	617.652E-3	2.86734E-3	190.638E-12	647.320E-3	16.7088E-3
4.87494E-3	185.573E-12	602.662E-3	-29.3293E-3	190.860E-12	669.388E-3	-3.57323E-3
4.86993E-3	185.412E-12	599.500E-3	-36.4804E-3	189.466E-12	684.162E-3	10.5375E-3
4.86493E-3	184.596E-12	606.898E-3	-7.83939E-3	188.303E-12	667.014E-3	14.7343E-3
4.85993E-3	186.266E-12	605.879E-3	692.035E-6	190.289E-12	640.699E-3	6.72267E-3
4.85493E-3	186.338E-12	593.037E-3	-17.2987E-3	189.566E-12	616.740E-3	20.3901E-3
4.84992E-3	185.045E-12	593.265E-3	772.035E-6	187.891E-12	597.571E-3	21.1747E-3
4.84492E-3	184.349E-12	601.083E-3	9.50544E-3	184.773E-12	572.230E-3	1.51723E-3
4.83992E-3	185.268E-12	598.965E-3	-9.47865E-3	184.587E-12	578.289E-3	-12.9543E-3
4.83492E-3	185.790E-12	601.993E-3	-4.65808E-3	184.472E-12	621.552E-3	-38.3105E-3
4.82991E-3	184.941E-12	608.902E-3	11.9266E-3	182.514E-12	631.583E-3	-49.0706E-3
4.82491E-3	183.384E-12	612.818E-3	-16.4585E-3	181.713E-12	621.711E-3	-22.2790E-3
4.81991E-3	183.515E-12	605.504E-3	-43.6571E-3	180.865E-12	618.877E-3	-23.3414E-3
4.81491E-3	184.328E-12	605.265E-3	-32.7405E-3	181.904E-12	608.651E-3	-38.0114E-3
4.80990E-3	183.331E-12	623.635E-3	-28.3516E-3	181.740E-12	613.613E-3	-13.9780E-3
4.80490E-3	182.877E-12	632.844E-3	-33.3821E-3	179.324E-12	611.640E-3	16.7990E-3
4.79990E-3	181.702E-12	608.829E-3	-55.9433E-3	178.782E-12	582.996E-3	31.8423E-3
4.79490E-3	180.867E-12	603.802E-3	-67.9443E-3	182.187E-12	567.066E-3	20.4766E-3
4.78989E-3	181.491E-12	633.742E-3	-37.4303E-3	183.940E-12	561.423E-3	-14.1698E-3
4.78489E-3	183.381E-12	646.392E-3	-6.27366E-3	182.012E-12	591.070E-3	-55.0319E-3
4.77989E-3	182.379E-12	650.877E-3	2.18644E-3	181.550E-12	650.280E-3	-69.9302E-3
4.77489E-3	180.553E-12	652.509E-3	-2.20111E-3	182.881E-12	649.483E-3	-30.2537E-3
4.76988E-3	182.146E-12	619.711E-3	-6.49525E-3	184.751E-12	599.973E-3	9.89183E-3
4.76488E-3	183.605E-12	599.634E-3	18.6535E-3	183.554E-12	586.320E-3	19.5611E-3
4.75988E-3	184.069E-12	615.429E-3	36.7604E-3	182.835E-12	609.462E-3	32.8732E-3
4.75488E-3	183.456E-12	632.478E-3	9.90182E-3	182.444E-12	628.435E-3	43.9368E-3
4.74988E-3	183.745E-12	655.564E-3	-23.7253E-3	183.680E-12	633.151E-3	34.6176E-3
4.74487E-3	184.018E-12	653.423E-3	-43.0707E-3	183.708E-12	642.037E-3	138.314E-6
4.73987E-3	184.487E-12	614.272E-3	-26.5127E-3	181.342E-12	641.224E-3	-41.1863E-3
4.73487E-3	184.062E-12	611.610E-3	8.51024E-3	180.198E-12	611.081E-3	-49.2888E-3
4.72986E-3	183.194E-12	654.970E-3	7.73757E-3	180.604E-12	602.206E-3	-37.3948E-3
4.72486E-3	182.891E-12	667.833E-3	-12.3353E-3	179.714E-12	618.041E-3	-25.4970E-3
4.71986E-3	182.276E-12	631.393E-3	-17.3011E-3	179.239E-12	607.389E-3	3.58996E-3
