Experiment	bias spectroscopy	
Date	19.01.2016 20:37:43	
User		
X (m)	50.3106E-9	
Y (m)	257.156E-9	
Z (m)	-132.533E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	MnPc/Pb(111)	
Comment02	dz =00pm	
Comment03	7 Sweeps	
Comment04	MagField =0.T	
Comment05	Divider 1:10	
Comment06	Setpoint:5mV,200 pA	
Comment07	Lockin: 50uVrms,5ms,5mV	
Comment08	Gain:9; 912Hz modulation	
Comment09	T=1.06K	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.046E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	2000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	7	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	100E-3,3.3E-3,100E-6,10E-3,2500;3.3E-3,-3.3E-3,100E-6,10E-3,10;-3.3E-3,-100E-3,100E-6,10E-3,2500	
Current>Current (A)	200.67E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-455.429E-15	
Current>Gain	LN 10^9	
Z-Controller>Z (m)	-132.533E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	2.96994E-12	
Z-Controller>I gain	67.0321E-9	
Z-Controller>Time const (s)	44.3062E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	200.506E-12	
Z (m)	-132.533E-9	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Current [bwd] (A)	X% LockIn [bwd] (V)	Y% LockIn [bwd] (V)
5.00000E-3	195.944E-12	520.321E-3	-56.9628E-3	198.130E-12	509.783E-3	40.7349E-3
4.99500E-3	196.455E-12	517.807E-3	-43.7267E-3	198.610E-12	531.184E-3	37.6820E-3
4.98999E-3	194.690E-12	506.051E-3	-25.3698E-3	196.918E-12	538.769E-3	-3.98156E-3
4.98499E-3	192.825E-12	497.837E-3	66.5371E-6	197.892E-12	525.833E-3	-6.37776E-3
4.97999E-3	193.301E-12	504.559E-3	5.58639E-3	197.607E-12	536.058E-3	21.9973E-3
4.97499E-3	195.639E-12	498.752E-3	-18.5599E-3	198.075E-12	527.332E-3	23.4068E-3
4.96998E-3	195.691E-12	508.373E-3	-37.8505E-3	197.457E-12	500.453E-3	18.3379E-3
4.96498E-3	192.907E-12	545.549E-3	-42.8254E-3	197.663E-12	497.584E-3	-6.98598E-3
4.95998E-3	191.708E-12	565.432E-3	-41.3987E-3	196.373E-12	515.634E-3	-39.2270E-3
4.95498E-3	193.496E-12	542.442E-3	-29.1241E-3	194.975E-12	533.026E-3	-27.4352E-3
4.94997E-3	193.709E-12	527.989E-3	-10.9195E-3	194.215E-12	533.681E-3	16.9344E-3
4.94497E-3	193.860E-12	521.229E-3	-913.705E-6	195.177E-12	505.792E-3	24.9627E-3
4.93997E-3	192.076E-12	501.113E-3	6.86801E-3	194.454E-12	484.877E-3	1.16551E-3
4.93497E-3	191.979E-12	487.506E-3	-2.40664E-3	191.685E-12	501.974E-3	-2.81781E-3
4.92996E-3	193.512E-12	501.206E-3	-24.6985E-3	191.572E-12	521.866E-3	-15.1482E-3
4.92496E-3	193.671E-12	501.790E-3	-27.7394E-3	192.980E-12	540.890E-3	-33.6181E-3
4.91996E-3	192.781E-12	483.742E-3	-18.5016E-3	192.288E-12	552.465E-3	-20.3920E-3
4.91496E-3	192.257E-12	491.156E-3	-21.7394E-3	192.578E-12	529.958E-3	-14.3269E-3
4.90995E-3	192.486E-12	495.672E-3	-35.0990E-3	192.209E-12	512.826E-3	-22.3050E-3
4.90495E-3	192.386E-12	514.513E-3	-19.2887E-3	191.777E-12	523.006E-3	-21.4665E-3
4.89995E-3	191.330E-12	544.058E-3	-4.15154E-3	194.312E-12	550.980E-3	-33.0340E-3
4.89495E-3	191.264E-12	533.217E-3	-35.7584E-3	194.991E-12	561.306E-3	-60.0601E-3
4.88995E-3	189.633E-12	518.315E-3	-59.3840E-3	193.269E-12	545.740E-3	-63.0793E-3
4.88494E-3	189.938E-12	520.139E-3	-57.1651E-3	193.113E-12	542.269E-3	-55.1382E-3
4.87994E-3	190.378E-12	511.153E-3	-79.4219E-3	193.966E-12	508.374E-3	-56.0515E-3
4.87494E-3	188.080E-12	513.744E-3	-115.343E-3	192.718E-12	459.500E-3	-52.5255E-3
