Experiment	bias spectroscopy	
Date	19.01.2016 19:37:14	
User		
X (m)	50.2485E-9	
Y (m)	256.651E-9	
Z (m)	-132.536E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	MnPc/Pb(111)	
Comment02	dz =00pm	
Comment03	7 Sweeps	
Comment04	MagField =0.T	
Comment05	Divider 1:10	
Comment06	Setpoint:5mV,200 pA	
Comment07	Lockin: 50uVrms,5ms,5mV	
Comment08	Gain:9; 912Hz modulation	
Comment09	T=1.06K	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.046E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	2000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	7	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	100E-3,3.3E-3,100E-6,10E-3,2500;3.3E-3,-3.3E-3,100E-6,10E-3,10;-3.3E-3,-100E-3,100E-6,10E-3,2500	
Current>Current (A)	200.088E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-455.429E-15	
Current>Gain	LN 10^9	
Z-Controller>Z (m)	-132.533E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	2.96994E-12	
Z-Controller>I gain	67.0321E-9	
Z-Controller>Time const (s)	44.3062E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	200.413E-12	
Z (m)	-132.533E-9	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Current [bwd] (A)	X% LockIn [bwd] (V)	Y% LockIn [bwd] (V)
5.00000E-3	194.022E-12	558.046E-3	-16.8149E-3	190.713E-12	522.691E-3	18.6198E-3
4.99500E-3	194.392E-12	546.414E-3	-24.5843E-3	191.076E-12	553.640E-3	-9.35576E-3
4.98999E-3	194.860E-12	534.575E-3	-7.59517E-3	192.199E-12	549.148E-3	-24.6609E-3
4.98499E-3	195.083E-12	524.826E-3	-4.24461E-3	194.773E-12	537.233E-3	-13.5400E-3
4.97999E-3	195.878E-12	526.709E-3	-12.5643E-3	196.164E-12	540.063E-3	-1.20392E-3
4.97499E-3	197.022E-12	532.552E-3	-14.5649E-3	196.825E-12	551.038E-3	3.49514E-3
4.96998E-3	198.246E-12	534.083E-3	-23.9376E-3	199.676E-12	566.928E-3	-10.4834E-3
4.96498E-3	198.986E-12	535.047E-3	-23.3299E-3	202.244E-12	570.623E-3	-15.1690E-3
4.95998E-3	199.340E-12	544.313E-3	-2.59919E-3	203.241E-12	551.226E-3	-17.8715E-3
4.95498E-3	199.391E-12	567.585E-3	-5.62640E-3	203.190E-12	524.610E-3	-35.6010E-3
4.94997E-3	199.359E-12	573.878E-3	-20.7961E-3	204.078E-12	509.251E-3	-27.2770E-3
4.94497E-3	200.340E-12	554.464E-3	1.44078E-3	204.456E-12	496.864E-3	2.39819E-3
4.93997E-3	199.703E-12	531.754E-3	24.1834E-3	204.235E-12	493.929E-3	23.4947E-3
4.93497E-3	199.233E-12	535.571E-3	18.7882E-3	204.401E-12	513.353E-3	11.6781E-3
4.92996E-3	198.141E-12	556.157E-3	15.7758E-3	199.893E-12	537.851E-3	-13.5960E-3
4.92496E-3	197.798E-12	558.845E-3	16.7478E-3	198.870E-12	545.011E-3	-14.5168E-3
4.91996E-3	195.779E-12	562.555E-3	2.55245E-3	199.018E-12	529.548E-3	2.49093E-3
4.91496E-3	194.028E-12	556.074E-3	-7.62155E-3	196.114E-12	517.470E-3	13.7242E-3
4.90995E-3	193.250E-12	524.580E-3	-24.7300E-3	193.916E-12	520.730E-3	6.22472E-3
4.90495E-3	191.370E-12	527.461E-3	-65.4683E-3	192.379E-12	527.540E-3	-3.38914E-3
4.89995E-3	191.365E-12	533.970E-3	-75.8736E-3	193.204E-12	521.567E-3	-13.4154E-3
4.89495E-3	191.336E-12	511.437E-3	-51.2887E-3	193.880E-12	504.300E-3	-19.0861E-3
4.88995E-3	191.171E-12	523.168E-3	-15.5052E-3	193.192E-12	509.480E-3	-3.04494E-3
4.88494E-3	191.735E-12	538.569E-3	16.4466E-3	193.033E-12	528.497E-3	12.4060E-3
4.87994E-3	193.552E-12	535.936E-3	16.1801E-3	195.758E-12	536.487E-3	10.9606E-3
4.87494E-3	193.702E-12	541.615E-3	-5.01388E-3	197.656E-12	542.112E-3	9.93469E-3
