Experiment	bias spectroscopy	
Date	19.01.2016 20:51:28	
User		
X (m)	49.4905E-9	
Y (m)	256.744E-9	
Z (m)	-132.601E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	MnPc/Pb(111)	
Comment02	dz =00pm	
Comment03	7 Sweeps	
Comment04	MagField =0.T	
Comment05	Divider 1:10	
Comment06	Setpoint:5mV,200 pA	
Comment07	Lockin: 50uVrms,5ms,5mV	
Comment08	Gain:9; 912Hz modulation	
Comment09	T=1.06K	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.046E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	2000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	7	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	100E-3,3.3E-3,100E-6,10E-3,2500;3.3E-3,-3.3E-3,100E-6,10E-3,10;-3.3E-3,-100E-3,100E-6,10E-3,2500	
Current>Current (A)	200.055E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-455.429E-15	
Current>Gain	LN 10^9	
Z-Controller>Z (m)	-132.599E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	2.96994E-12	
Z-Controller>I gain	67.0321E-9	
Z-Controller>Time const (s)	44.3062E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	199.986E-12	
Z (m)	-132.599E-9	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Current [bwd] (A)	X% LockIn [bwd] (V)	Y% LockIn [bwd] (V)
5.00000E-3	202.535E-12	622.780E-3	-8.35700E-3	204.852E-12	598.132E-3	-29.0344E-3
4.99500E-3	202.647E-12	648.278E-3	-15.4373E-3	203.102E-12	618.897E-3	-27.7131E-3
4.98999E-3	200.382E-12	647.704E-3	-22.3239E-3	202.658E-12	629.637E-3	-27.4716E-3
4.98499E-3	200.036E-12	621.176E-3	-9.85183E-3	200.514E-12	600.539E-3	-9.11462E-3
4.97999E-3	200.255E-12	607.132E-3	12.2227E-3	199.050E-12	565.137E-3	23.3585E-3
4.97499E-3	201.454E-12	616.708E-3	16.2454E-3	197.981E-12	603.924E-3	26.0853E-3
4.96998E-3	200.838E-12	639.092E-3	-10.0842E-3	198.229E-12	665.179E-3	-6.90562E-3
4.96498E-3	200.135E-12	634.620E-3	-44.0430E-3	196.606E-12	649.718E-3	-30.3602E-3
4.95998E-3	200.322E-12	637.467E-3	-61.0319E-3	195.198E-12	607.562E-3	-33.5392E-3
4.95498E-3	201.315E-12	669.866E-3	-54.3191E-3	196.048E-12	604.465E-3	-14.7297E-3
4.94997E-3	202.366E-12	666.916E-3	-63.0243E-3	196.466E-12	605.659E-3	8.01478E-3
4.94497E-3	201.097E-12	630.771E-3	-74.5791E-3	196.817E-12	610.143E-3	19.8659E-3
4.93997E-3	200.459E-12	627.024E-3	-36.4753E-3	196.381E-12	644.889E-3	15.7189E-3
4.93497E-3	201.030E-12	641.560E-3	10.9828E-3	197.921E-12	659.712E-3	1.84877E-3
4.92996E-3	203.967E-12	645.978E-3	4.10161E-3	198.135E-12	633.094E-3	-1.08458E-3
4.92496E-3	199.452E-12	649.627E-3	-11.9320E-3	199.684E-12	619.317E-3	-14.5586E-3
4.91996E-3	197.952E-12	643.200E-3	-9.84420E-3	199.175E-12	633.836E-3	-25.4183E-3
4.91496E-3	198.366E-12	627.802E-3	-37.0263E-3	199.296E-12	650.365E-3	-15.8465E-3
4.90995E-3	200.405E-12	615.208E-3	-58.8380E-3	198.915E-12	630.129E-3	-5.21821E-3
4.90495E-3	197.495E-12	607.854E-3	-42.9091E-3	199.405E-12	605.146E-3	11.1564E-3
4.89995E-3	194.240E-12	604.254E-3	-43.3013E-3	199.298E-12	621.159E-3	7.85693E-3
4.89495E-3	195.703E-12	603.181E-3	-60.8189E-3	197.150E-12	653.017E-3	-18.5239E-3
4.88995E-3	196.575E-12	591.715E-3	-29.3539E-3	196.716E-12	653.625E-3	-33.7803E-3
4.88494E-3	196.885E-12	574.657E-3	14.0805E-3	196.760E-12	613.743E-3	-27.3299E-3
4.87994E-3	193.180E-12	589.984E-3	-5.19432E-3	198.131E-12	602.218E-3	9.61945E-3
4.87494E-3	193.850E-12	631.260E-3	-28.5376E-3	196.031E-12	626.245E-3	35.1650E-3
4.86993E-3	195.276E-12	644.579E-3	-20.3844E-3	196.011E-12	627.661E-3	-2.00005E-3
4.86493E-3	196.573E-12	639.877E-3	-19.7744E-3	195.407E-12	627.941E-3	-37.9300E-3
4.85993E-3	195.651E-12	637.306E-3	-17.9511E-3	195.602E-12	645.086E-3	-11.8655E-3
4.85493E-3	194.639E-12	626.213E-3	-14.8284E-3	194.837E-12	652.232E-3	27.8434E-3
4.84992E-3	195.646E-12	618.590E-3	-30.7345E-3	194.881E-12	665.369E-3	11.7692E-3
4.84492E-3	196.199E-12	632.037E-3	-45.4229E-3	194.773E-12	668.174E-3	-29.4032E-3
4.83992E-3	197.309E-12	643.571E-3	-43.2991E-3	194.770E-12	649.099E-3	-39.1147E-3
4.83492E-3	194.805E-12	622.670E-3	-32.9571E-3	194.593E-12	633.131E-3	-36.7270E-3
4.82991E-3	195.792E-12	606.291E-3	-28.8840E-3	193.839E-12	610.468E-3	-29.9662E-3
4.82491E-3	197.016E-12	616.012E-3	-27.2969E-3	192.118E-12	618.919E-3	-10.4745E-3
4.81991E-3	197.701E-12	639.627E-3	-16.6662E-3	191.851E-12	636.211E-3	4.72993E-3
4.81491E-3	195.363E-12	667.015E-3	-11.7346E-3	192.285E-12	620.891E-3	3.78360E-3
4.80990E-3	193.153E-12	658.480E-3	-15.3714E-3	192.578E-12	617.055E-3	435.748E-6
4.80490E-3	192.927E-12	636.080E-3	-36.3008E-3	191.030E-12	611.527E-3	-816.982E-6
4.79990E-3	192.638E-12	652.275E-3	-56.1535E-3	190.545E-12	594.450E-3	-2.23029E-3
4.79490E-3	191.810E-12	656.652E-3	-44.2558E-3	190.746E-12	591.983E-3	-14.0665E-3
4.78989E-3	191.018E-12	633.012E-3	-20.8034E-3	192.614E-12	603.288E-3	-25.0834E-3
4.78489E-3	191.103E-12	628.964E-3	94.3252E-6	193.204E-12	638.352E-3	-21.3438E-3
4.77989E-3	189.473E-12	633.169E-3	11.9372E-3	193.279E-12	661.351E-3	-23.8213E-3
4.77489E-3	190.359E-12	637.273E-3	10.0297E-3	193.748E-12	648.856E-3	-11.1241E-3
4.76988E-3	189.970E-12	638.069E-3	7.10345E-3	194.570E-12	638.713E-3	17.0360E-3
4.76488E-3	190.179E-12	622.696E-3	-3.78955E-3	195.153E-12	645.942E-3	28.8324E-3
4.75988E-3	189.081E-12	597.394E-3	-28.0102E-3	195.989E-12	641.136E-3	36.5262E-3
4.75488E-3	189.072E-12	580.796E-3	-49.9703E-3	196.504E-12	592.898E-3	37.7776E-3
4.74988E-3	189.322E-12	578.215E-3	-63.6344E-3	195.001E-12	542.523E-3	21.2793E-3
4.74487E-3	191.043E-12	585.710E-3	-53.0807E-3	193.439E-12	556.125E-3	9.00674E-3
4.73987E-3	191.155E-12	617.429E-3	-27.5290E-3	192.118E-12	608.809E-3	-7.98563E-3
4.73487E-3	190.955E-12	645.327E-3	-19.2794E-3	192.990E-12	645.332E-3	-28.7033E-3
4.72986E-3	191.272E-12	628.213E-3	-26.3522E-3	191.612E-12	648.719E-3	-23.5561E-3
4.72486E-3	191.505E-12	613.499E-3	-35.2769E-3	188.518E-12	623.122E-3	4.49098E-3
4.71986E-3	193.318E-12	625.178E-3	-26.5481E-3	186.282E-12	601.369E-3	12.6254E-3
4.71486E-3	192.397E-12	619.751E-3	-8.85679E-3	186.834E-12	602.542E-3	-10.8987E-3
4.70985E-3	191.711E-12	616.821E-3	-24.2633E-3	187.189E-12	604.867E-3	-19.6646E-3
4.70485E-3	191.036E-12	625.714E-3	-48.3287E-3	186.249E-12	611.820E-3	-9.11163E-3
