Experiment	bias spectroscopy	
Date	19.01.2016 22:05:41	
User		
X (m)	50.2618E-9	
Y (m)	257.803E-9	
Z (m)	-132.623E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	MnPc/Pb(111)	
Comment02	dz =00pm	
Comment03	7 Sweeps	
Comment04	MagField =0.T	
Comment05	Divider 1:10	
Comment06	Setpoint:5mV,200 pA	
Comment07	Lockin: 50uVrms,5ms,5mV	
Comment08	Gain:9; 912Hz modulation	
Comment09	T=1.06K	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.046E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	2000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	7	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	100E-3,3.3E-3,100E-6,10E-3,2500;3.3E-3,-3.3E-3,100E-6,10E-3,10;-3.3E-3,-100E-3,100E-6,10E-3,2500	
Current>Current (A)	200.117E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-455.429E-15	
Current>Gain	LN 10^9	
Z-Controller>Z (m)	-132.623E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	2.96994E-12	
Z-Controller>I gain	67.0321E-9	
Z-Controller>Time const (s)	44.3062E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	200.189E-12	
Z (m)	-132.623E-9	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Current [bwd] (A)	X% LockIn [bwd] (V)	Y% LockIn [bwd] (V)
5.00000E-3	200.142E-12	663.996E-3	-28.8634E-3	202.089E-12	639.648E-3	35.3375E-3
4.99500E-3	199.167E-12	661.817E-3	-59.5676E-3	203.135E-12	660.779E-3	12.9365E-3
4.98999E-3	198.199E-12	668.774E-3	-45.3943E-3	202.933E-12	661.613E-3	-54.9342E-3
4.98499E-3	197.281E-12	681.648E-3	-17.0100E-3	202.479E-12	653.813E-3	-89.2011E-3
4.97999E-3	197.090E-12	699.542E-3	-18.1678E-3	203.133E-12	651.206E-3	-42.6378E-3
4.97499E-3	197.382E-12	678.141E-3	-38.1291E-3	203.267E-12	665.659E-3	-2.29064E-3
4.96998E-3	196.136E-12	628.553E-3	-54.6165E-3	203.132E-12	688.222E-3	-1.79226E-3
4.96498E-3	196.771E-12	627.129E-3	-49.3075E-3	200.370E-12	704.920E-3	-1.61558E-3
4.95998E-3	197.095E-12	659.527E-3	-50.2451E-3	199.220E-12	694.864E-3	-21.4997E-3
4.95498E-3	196.936E-12	654.852E-3	-60.6448E-3	198.349E-12	649.923E-3	-48.5525E-3
4.94997E-3	197.840E-12	648.665E-3	-41.3793E-3	197.942E-12	629.008E-3	-54.2690E-3
4.94497E-3	197.433E-12	665.539E-3	-834.900E-6	195.472E-12	653.392E-3	-63.5856E-3
4.93997E-3	199.185E-12	683.630E-3	9.65725E-3	193.876E-12	673.317E-3	-63.6623E-3
4.93497E-3	201.003E-12	678.027E-3	-12.2453E-3	193.040E-12	680.688E-3	-32.1235E-3
4.92996E-3	201.345E-12	663.213E-3	-11.7832E-3	193.704E-12	683.597E-3	6.85547E-3
4.92496E-3	199.181E-12	675.470E-3	1.37328E-3	193.851E-12	667.101E-3	27.1148E-3
4.91996E-3	199.450E-12	692.450E-3	-6.63921E-3	192.088E-12	639.378E-3	19.8508E-3
4.91496E-3	199.488E-12	688.458E-3	-23.9005E-3	192.408E-12	636.690E-3	-3.92687E-3
4.90995E-3	198.722E-12	684.907E-3	-33.0242E-3	193.700E-12	669.338E-3	-22.4047E-3
4.90495E-3	197.423E-12	696.894E-3	-36.7389E-3	194.808E-12	680.386E-3	2.06025E-3
4.89995E-3	196.702E-12	693.628E-3	-35.6034E-3	195.173E-12	666.988E-3	27.2813E-3
4.89495E-3	195.221E-12	670.842E-3	-6.32535E-3	195.830E-12	671.414E-3	2.78086E-3
4.88995E-3	194.055E-12	676.276E-3	30.0160E-3	196.149E-12	688.183E-3	-32.0722E-3
4.88494E-3	193.810E-12	696.531E-3	30.7007E-3	198.042E-12	712.365E-3	-53.6322E-3
4.87994E-3	192.646E-12	695.429E-3	17.5037E-3	198.484E-12	722.347E-3	-52.9582E-3
4.87494E-3	192.629E-12	691.754E-3	10.1076E-3	197.111E-12	687.160E-3	-40.4158E-3
