Experiment	bias spectroscopy	
Date	19.01.2016 20:40:28	
User		
X (m)	50.4524E-9	
Y (m)	257.267E-9	
Z (m)	-132.578E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	MnPc/Pb(111)	
Comment02	dz =00pm	
Comment03	7 Sweeps	
Comment04	MagField =0.T	
Comment05	Divider 1:10	
Comment06	Setpoint:5mV,200 pA	
Comment07	Lockin: 50uVrms,5ms,5mV	
Comment08	Gain:9; 912Hz modulation	
Comment09	T=1.06K	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.046E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	2000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	7	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	100E-3,3.3E-3,100E-6,10E-3,2500;3.3E-3,-3.3E-3,100E-6,10E-3,10;-3.3E-3,-100E-3,100E-6,10E-3,2500	
Current>Current (A)	200.429E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-455.429E-15	
Current>Gain	LN 10^9	
Z-Controller>Z (m)	-132.578E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	2.96994E-12	
Z-Controller>I gain	67.0321E-9	
Z-Controller>Time const (s)	44.3062E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	199.881E-12	
Z (m)	-132.578E-9	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Current [bwd] (A)	X% LockIn [bwd] (V)	Y% LockIn [bwd] (V)
5.00000E-3	198.350E-12	565.233E-3	-9.79997E-3	196.860E-12	606.740E-3	-26.7540E-3
4.99500E-3	199.995E-12	560.655E-3	-5.81782E-3	196.364E-12	624.089E-3	-31.9012E-3
4.98999E-3	201.915E-12	569.341E-3	-11.3871E-3	196.586E-12	614.654E-3	-68.3362E-3
4.98499E-3	201.665E-12	582.953E-3	-33.3083E-3	195.024E-12	566.832E-3	-75.3574E-3
4.97999E-3	198.103E-12	604.505E-3	-40.9469E-3	195.919E-12	560.299E-3	-29.3350E-3
4.97499E-3	196.660E-12	638.813E-3	-23.4229E-3	195.941E-12	587.329E-3	5.87714E-3
4.96998E-3	197.378E-12	638.521E-3	-2.44408E-3	197.177E-12	603.577E-3	11.8379E-3
4.96498E-3	197.561E-12	609.028E-3	7.48123E-3	195.755E-12	619.139E-3	20.4478E-3
4.95998E-3	194.138E-12	608.443E-3	-11.6296E-3	196.512E-12	633.438E-3	10.8772E-3
4.95498E-3	193.715E-12	616.054E-3	-12.6722E-3	197.159E-12	634.176E-3	-25.0375E-3
4.94997E-3	194.427E-12	606.106E-3	-2.54082E-3	198.753E-12	608.721E-3	-34.2435E-3
4.94497E-3	193.789E-12	573.158E-3	-8.56468E-3	197.510E-12	587.380E-3	-21.2727E-3
4.93997E-3	193.202E-12	548.697E-3	23.2980E-3	197.339E-12	606.243E-3	-35.0081E-3
4.93497E-3	192.576E-12	549.194E-3	49.7816E-3	198.001E-12	615.482E-3	-40.6604E-3
4.92996E-3	193.347E-12	534.924E-3	15.3343E-3	197.248E-12	612.064E-3	-14.4052E-3
4.92496E-3	194.482E-12	532.995E-3	-18.8974E-3	196.624E-12	615.021E-3	-16.9828E-3
4.91996E-3	193.652E-12	565.040E-3	-21.9076E-3	195.919E-12	592.508E-3	-34.5900E-3
4.91496E-3	194.528E-12	591.585E-3	-34.0331E-3	196.499E-12	577.928E-3	-16.5549E-3
4.90995E-3	195.806E-12	598.982E-3	-39.8428E-3	194.756E-12	598.196E-3	11.3767E-3
4.90495E-3	196.570E-12	583.984E-3	-38.3856E-3	193.731E-12	614.842E-3	15.6357E-3
4.89995E-3	194.184E-12	581.171E-3	-37.1740E-3	192.071E-12	623.711E-3	-7.40259E-3
4.89495E-3	194.560E-12	596.559E-3	-13.0970E-3	192.066E-12	633.409E-3	-22.0219E-3
4.88995E-3	195.214E-12	576.485E-3	-1.00244E-3	192.975E-12	615.297E-3	-14.6487E-3
4.88494E-3	195.226E-12	549.080E-3	-32.9619E-3	191.402E-12	580.584E-3	-16.6259E-3
4.87994E-3	192.645E-12	551.459E-3	-64.5909E-3	190.756E-12	585.045E-3	-31.7446E-3
4.87494E-3	191.115E-12	577.486E-3	-51.9738E-3	190.174E-12	602.581E-3	-36.6283E-3
4.86993E-3	189.921E-12	602.314E-3	-17.6451E-3	191.898E-12	591.600E-3	-35.6158E-3
4.86493E-3	190.064E-12	615.091E-3	1.17497E-3	192.231E-12	604.388E-3	-33.6126E-3
4.85993E-3	190.876E-12	615.333E-3	-6.32609E-3	193.770E-12	626.069E-3	-29.7110E-3
4.85493E-3	189.077E-12	607.266E-3	-36.7984E-3	192.532E-12	605.631E-3	-20.4327E-3
4.84992E-3	188.356E-12	592.385E-3	-62.1696E-3	194.106E-12	581.666E-3	-5.84512E-3
4.84492E-3	188.460E-12	597.219E-3	-46.6469E-3	194.994E-12	576.745E-3	-19.0944E-3
4.83992E-3	189.560E-12	631.165E-3	-17.3296E-3	194.088E-12	583.419E-3	-45.8985E-3
4.83492E-3	191.016E-12	651.457E-3	2.08131E-3	194.631E-12	595.104E-3	-39.9805E-3
4.82991E-3	189.752E-12	636.455E-3	859.941E-6	194.561E-12	606.041E-3	-9.13853E-3
4.82491E-3	189.376E-12	610.821E-3	-18.6064E-3	194.249E-12	616.990E-3	3.76955E-3
4.81991E-3	192.473E-12	602.939E-3	-23.6299E-3	193.326E-12	629.530E-3	-4.16013E-3
4.81491E-3	192.641E-12	608.442E-3	-29.3770E-3	191.733E-12	636.386E-3	-4.96185E-3
4.80990E-3	189.458E-12	614.990E-3	-39.1960E-3	190.756E-12	611.786E-3	15.5523E-3
4.80490E-3	190.371E-12	590.215E-3	-35.5614E-3	190.934E-12	584.329E-3	23.3694E-3
4.79990E-3	191.319E-12	575.053E-3	-14.7026E-3	188.724E-12	588.458E-3	-6.26858E-3
4.79490E-3	189.309E-12	587.469E-3	9.06407E-3	187.551E-12	571.956E-3	-27.2318E-3
4.78989E-3	189.323E-12	591.465E-3	17.1592E-3	189.646E-12	541.762E-3	-24.2928E-3
4.78489E-3	187.646E-12	590.312E-3	-3.60865E-3	187.717E-12	560.723E-3	-3.97164E-3
4.77989E-3	186.891E-12	589.435E-3	-30.6049E-3	185.972E-12	602.430E-3	11.0078E-3
4.77489E-3	188.781E-12	593.390E-3	-15.5611E-3	186.753E-12	626.412E-3	-4.27758E-3
4.76988E-3	188.813E-12	603.562E-3	25.6908E-3	188.828E-12	635.753E-3	-30.4909E-3
4.76488E-3	185.946E-12	614.973E-3	37.7096E-3	188.293E-12	636.784E-3	-36.8051E-3
4.75988E-3	184.522E-12	633.095E-3	11.1849E-3	187.782E-12	632.589E-3	-15.6513E-3
4.75488E-3	186.183E-12	650.780E-3	-3.57278E-3	187.930E-12	625.880E-3	79.7566E-6
4.74988E-3	187.585E-12	625.498E-3	-14.8592E-3	190.339E-12	632.623E-3	-25.0851E-3
4.74487E-3	185.071E-12	602.965E-3	-31.5978E-3	191.666E-12	646.098E-3	-59.6904E-3
4.73987E-3	184.714E-12	620.226E-3	-24.4272E-3	188.941E-12	638.404E-3	-55.5813E-3
4.73487E-3	186.786E-12	625.820E-3	-16.0028E-3	188.840E-12	619.581E-3	-32.7113E-3
4.72986E-3	187.805E-12	612.056E-3	-14.1191E-3	189.371E-12	600.225E-3	-28.8642E-3
4.72486E-3	186.145E-12	613.268E-3	-3.75608E-3	190.526E-12	583.412E-3	-22.7581E-3
4.71986E-3	183.662E-12	610.631E-3	694.074E-6	188.265E-12	581.733E-3	4.69462E-3
4.71486E-3	184.821E-12	581.643E-3	5.47811E-3	187.274E-12	584.057E-3	16.2149E-3
4.70985E-3	185.296E-12	578.287E-3	-4.15199E-3	187.461E-12	580.256E-3	7.90885E-3
4.70485E-3	185.370E-12	600.318E-3	-21.9819E-3	188.199E-12	589.798E-3	-2.42760E-3
4.69985E-3	183.589E-12	594.047E-3	-17.8129E-3	187.048E-12	620.883E-3	-5.04013E-3
4.69485E-3	183.976E-12	580.343E-3	-7.27131E-3	184.422E-12	634.214E-3	-6.28156E-3
4.68984E-3	184.536E-12	593.503E-3	5.24152E-3	183.180E-12	623.301E-3	-26.2915E-3
4.68484E-3	185.624E-12	601.936E-3	8.25087E-3	183.458E-12	637.462E-3	-45.5495E-3
4.67984E-3	185.105E-12	592.303E-3	-10.3540E-3	184.703E-12	673.696E-3	-32.1368E-3
4.67484E-3	185.062E-12	585.947E-3	-41.0908E-3	183.768E-12	686.483E-3	-5.86462E-3
4.66983E-3	187.295E-12	587.675E-3	-44.4510E-3	182.837E-12	662.963E-3	-16.8226E-3
4.66483E-3	187.010E-12	577.413E-3	-33.8002E-3	183.154E-12	618.836E-3	-24.8020E-3
4.65983E-3	186.354E-12	582.146E-3	-28.5793E-3	183.913E-12	609.226E-3	-9.54365E-3
4.65483E-3	186.161E-12	611.744E-3	-24.8602E-3	185.377E-12	620.823E-3	-29.0241E-3
4.64982E-3	186.955E-12	608.262E-3	-42.4697E-3	183.819E-12	605.621E-3	-49.2786E-3
4.64482E-3	185.431E-12	582.275E-3	-40.8598E-3	183.733E-12	602.265E-3	-23.8609E-3
4.63982E-3	185.513E-12	566.736E-3	-23.5543E-3	184.284E-12	613.181E-3	4.07577E-3
4.63482E-3	184.806E-12	565.852E-3	-33.3774E-3	187.371E-12	601.726E-3	-2.91298E-3
4.62981E-3	183.625E-12	571.212E-3	-41.4260E-3	185.095E-12	581.871E-3	-2.82235E-3
4.62481E-3	181.601E-12	577.804E-3	-17.4812E-3	184.250E-12	581.653E-3	8.89348E-3
4.61981E-3	180.167E-12	583.026E-3	-9.28125E-3	183.567E-12	579.374E-3	15.1297E-3
4.61481E-3	180.268E-12	588.452E-3	-29.0748E-3	183.592E-12	575.965E-3	16.4622E-3
4.60980E-3	180.199E-12	595.900E-3	-19.0146E-3	184.942E-12	598.710E-3	2.67982E-3
4.60480E-3	179.200E-12	581.529E-3	5.57797E-3	183.105E-12	632.004E-3	5.04454E-3
4.59980E-3	177.659E-12	574.729E-3	2.76159E-3	180.601E-12	659.271E-3	24.7718E-3
4.59480E-3	178.998E-12	604.929E-3	-13.6708E-3	179.815E-12	636.211E-3	45.0894E-3
4.58979E-3	180.038E-12	634.435E-3	-30.4106E-3	181.543E-12	571.938E-3	45.3342E-3
4.58479E-3	182.214E-12	632.938E-3	-34.9649E-3	180.555E-12	553.959E-3	19.5241E-3
4.57979E-3	180.566E-12	629.506E-3	-14.6494E-3	177.809E-12	588.340E-3	-10.0488E-3
4.57479E-3	181.090E-12	635.073E-3	7.22717E-3	177.778E-12	602.306E-3	-10.0277E-3
4.56978E-3	181.560E-12	624.266E-3	2.05287E-3	178.028E-12	596.515E-3	24.6305E-3
4.56478E-3	182.726E-12	612.350E-3	-7.99120E-3	178.212E-12	606.136E-3	33.1744E-3
4.55978E-3	182.202E-12	609.728E-3	-1.27980E-3	177.308E-12	602.193E-3	13.7764E-3
4.55478E-3	180.136E-12	586.392E-3	4.02993E-3	177.572E-12	586.650E-3	-7.86803E-3
4.54977E-3	181.525E-12	565.005E-3	-3.43318E-3	178.274E-12	592.472E-3	-27.1406E-3
4.54477E-3	179.615E-12	576.458E-3	-35.9011E-3	179.839E-12	617.655E-3	-32.2950E-3
4.53977E-3	178.316E-12	601.467E-3	-50.4652E-3	179.597E-12	622.789E-3	-36.5910E-3
4.53477E-3	177.248E-12	611.190E-3	-37.5799E-3	179.153E-12	603.071E-3	-28.3105E-3
4.52976E-3	176.396E-12	599.584E-3	-41.1007E-3	179.736E-12	591.589E-3	-10.1796E-3
4.52476E-3	174.933E-12	601.229E-3	-54.1849E-3	180.224E-12	587.982E-3	-4.58639E-3
4.51976E-3	174.042E-12	608.607E-3	-54.5847E-3	180.261E-12	587.735E-3	-6.46761E-3
4.51476E-3	174.848E-12	615.353E-3	-66.5887E-3	180.946E-12	594.805E-3	-3.49612E-3
4.50975E-3	174.770E-12	632.342E-3	-59.8319E-3	179.357E-12	601.063E-3	1.47531E-3
4.50475E-3	175.009E-12	631.518E-3	-972.613E-6	178.773E-12	600.429E-3	-17.2535E-3
4.49975E-3	175.032E-12	594.706E-3	23.1975E-3	179.754E-12	586.575E-3	-33.6050E-3
4.49475E-3	177.489E-12	559.107E-3	2.88700E-3	179.061E-12	586.058E-3	-34.1320E-3
4.48974E-3	178.131E-12	566.982E-3	-6.28836E-3	177.493E-12	608.629E-3	-45.5319E-3
4.48474E-3	177.337E-12	595.458E-3	5.37190E-3	176.644E-12	614.193E-3	-50.0107E-3
4.47974E-3	177.851E-12	601.295E-3	14.2034E-3	175.978E-12	610.834E-3	-25.4390E-3
4.47474E-3	176.881E-12	588.417E-3	7.37569E-3	175.813E-12	616.226E-3	-5.70782E-3
4.46973E-3	176.705E-12	578.921E-3	-16.0514E-3	172.466E-12	610.914E-3	-32.3105E-3
4.46473E-3	177.377E-12	574.753E-3	-48.1777E-3	173.225E-12	596.239E-3	-43.5627E-3
4.45973E-3	176.530E-12	573.338E-3	-61.4222E-3	173.118E-12	591.081E-3	-7.32291E-3
4.45473E-3	173.954E-12	573.455E-3	-44.4954E-3	172.748E-12	592.987E-3	-1.47561E-3
4.44972E-3	173.248E-12	596.810E-3	-31.9739E-3	171.501E-12	605.876E-3	-20.2555E-3
4.44472E-3	174.089E-12	625.446E-3	-37.8961E-3	172.520E-12	632.462E-3	-24.5915E-3
4.43972E-3	171.820E-12	614.494E-3	-39.4088E-3	174.099E-12	642.710E-3	-19.3359E-3
4.43472E-3	172.097E-12	590.980E-3	-41.5716E-3	173.261E-12	619.682E-3	-14.8545E-3
4.42971E-3	172.007E-12	577.915E-3	-29.7299E-3	175.991E-12	585.378E-3	-10.8979E-3
4.42471E-3	172.777E-12	566.709E-3	-5.76601E-3	174.367E-12	576.092E-3	-5.40289E-3
4.41971E-3	172.539E-12	568.681E-3	2.34130E-3	174.532E-12	603.664E-3	-1.82648E-3
4.41471E-3	172.658E-12	591.407E-3	-24.4489E-3	175.296E-12	621.732E-3	11.3792E-3
4.40970E-3	171.399E-12	602.920E-3	-47.9738E-3	176.320E-12	617.497E-3	15.2681E-3
4.40470E-3	172.053E-12	597.919E-3	-27.9435E-3	176.147E-12	615.118E-3	-1.83413E-3
4.39970E-3	173.462E-12	593.095E-3	3.73737E-3	174.955E-12	600.944E-3	6.00820E-3
4.39470E-3	171.533E-12	577.452E-3	17.0593E-3	175.541E-12	580.267E-3	36.6507E-3
4.38969E-3	171.278E-12	558.678E-3	-585.789E-6	175.039E-12	573.297E-3	31.4329E-3
